State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,temperature,humidity,wind_speed ,Rainfall,soil_type
Andhra Pradesh,CHITTOOR,2005,Kharif     ,Cotton(lint),4,4,26.78,72.81,3.41,946,red
Andhra Pradesh,CHITTOOR,2008,Kharif     ,Cotton(lint),24,37,26.46,72.25,3.18,946,red
Andhra Pradesh,CHITTOOR,2009,Kharif     ,Cotton(lint),66,94,27.16,69,3.48,946,red
Andhra Pradesh,CHITTOOR,2010,Kharif     ,Cotton(lint),235,98,26.99,73,3.32,946,red
Andhra Pradesh,CHITTOOR,2011,Kharif     ,Cotton(lint),400,65,26.68,70.5,3.46,946,red
Andhra Pradesh,CHITTOOR,2012,Kharif     ,Cotton(lint),317,405,27.25,67.94,3.41,946,red
Andhra Pradesh,CHITTOOR,2013,Kharif     ,Cotton(lint),157,391,26.96,69.88,3.62,946,red
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Cotton(lint),308,723,27.26,67.44,3.58,946,red
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Cotton(lint),9800,23400,25.9,72.12,2.56,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,1998,Kharif     ,Cotton(lint),7900,6300,26.02,75.06,2.57,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,1999,Kharif     ,Cotton(lint),4410,7289,25.42,72.12,2.59,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2000,Kharif     ,Cotton(lint),5580,10536,25.82,70.12,2.68,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Cotton(lint),6289,16425,25.83,71.19,2.58,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2002,Kharif     ,Cotton(lint),4555,8092,26.37,68.12,2.72,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2003,Kharif     ,Cotton(lint),8969,26696,26.03,72,2.72,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2004,Kharif     ,Cotton(lint),16022,45616,25.25,74.31,2.54,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2005,Kharif     ,Cotton(lint),13939,10167,25.81,73.44,2.63,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2006,Kharif     ,Cotton(lint),9034,19397,25.39,74.19,2.41,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2007,Kharif     ,Cotton(lint),8000,18000,25.49,74,2.56,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2008,Kharif     ,Cotton(lint),7432,14165,25.5,73.31,2.41,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2009,Kharif     ,Cotton(lint),6845,19649,26.39,69.19,2.44,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2010,Kharif     ,Cotton(lint),12112,21517,25.88,75.25,2.58,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2011,Kharif     ,Cotton(lint),13150,19880,25.32,73.25,2.46,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Cotton(lint),16845,32501,25.7,72.62,2.52,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,Cotton(lint),21781,24728,25.43,74.81,2.73,1151.1,alluvial
Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Cotton(lint),22433,47597,25.76,70.75,2.55,1151.1,alluvial
Andhra Pradesh,KADAPA,1997,Kharif     ,Cotton(lint),13400,17400,27.69,63,4.2,809.87,red
Andhra Pradesh,KADAPA,1998,Kharif     ,Cotton(lint),24800,22900,27.86,65.25,3.88,835.87,red
Andhra Pradesh,KADAPA,1999,Kharif     ,Cotton(lint),25038,27836,27.48,61.12,4.21,454.8,red
Andhra Pradesh,KADAPA,2000,Kharif     ,Cotton(lint),30687,41157,27.4,63.56,4.12,823.69,red
Andhra Pradesh,KADAPA,2001,Kharif     ,Cotton(lint),21579,23356,27.73,62.12,4.29,1010.57,red
Andhra Pradesh,KADAPA,2002,Kharif     ,Cotton(lint),11500,12921,27.73,62.44,4.32,557.24,red
Andhra Pradesh,KADAPA,2003,Kharif     ,Cotton(lint),15784,12999,28.33,59.81,4.19,721.59,red
Andhra Pradesh,KADAPA,2004,Kharif     ,Cotton(lint),27717,15815,27.09,64.88,4.16,686.98,red
Andhra Pradesh,KADAPA,2005,Kharif     ,Cotton(lint),14578,11834,27.29,66.62,3.83,1065.41,red
Andhra Pradesh,KADAPA,2006,Kharif     ,Cotton(lint),7940,5651,27.27,64.75,4.03,572.26,red
Andhra Pradesh,KADAPA,2007,Kharif     ,Cotton(lint),9000,14000,26.87,67.19,3.85,1209.92,red
Andhra Pradesh,KADAPA,2008,Kharif     ,Cotton(lint),11467,11669,27.13,65.12,3.89,885.06,red
Andhra Pradesh,KADAPA,2009,Kharif     ,Cotton(lint),12614,17882,27.8,62.31,4.27,816.01,red
Andhra Pradesh,KADAPA,2010,Kharif     ,Cotton(lint),17011,40822,27.57,66.94,3.88,1060.7,red
Andhra Pradesh,KADAPA,2011,Kharif     ,Cotton(lint),30845,48314,27.34,63.62,4.2,771.31,red
Andhra Pradesh,KADAPA,2012,Kharif     ,Cotton(lint),28546,58771,28.02,59.44,4.3,659.78,red
Andhra Pradesh,KADAPA,2013,Kharif     ,Cotton(lint),34119,50175,27.47,63.94,4.31,700.1,red
Andhra Pradesh,KADAPA,2014,Kharif     ,Cotton(lint),34346,57550,27.79,61.06,4.22,475.78,red
Andhra Pradesh,KRISHNA,1997,Kharif     ,Cotton(lint),26400,63300,28.34,71.06,4.17,1048.6,alluvial
Andhra Pradesh,KRISHNA,1998,Kharif     ,Cotton(lint),41300,32500,28.41,72.75,4.08,1048.6,alluvial
Andhra Pradesh,KRISHNA,1999,Kharif     ,Cotton(lint),31696,52392,28.3,68.25,4.15,1048.6,alluvial
Andhra Pradesh,KRISHNA,2000,Kharif     ,Cotton(lint),29437,64069,27.89,72.56,4.04,1048.6,alluvial
Andhra Pradesh,KRISHNA,2001,Kharif     ,Cotton(lint),35374,77615,28.33,70.06,4.04,1048.6,alluvial
Andhra Pradesh,KRISHNA,2002,Kharif     ,Cotton(lint),31367,57937,28.55,69,4.18,1048.6,alluvial
Andhra Pradesh,KRISHNA,2003,Kharif     ,Cotton(lint),35436,104849,28.4,70.56,4.16,1048.6,alluvial
Andhra Pradesh,KRISHNA,2004,Kharif     ,Cotton(lint),47915,137544,28,70.81,4.09,1048.6,alluvial
Andhra Pradesh,KRISHNA,2005,Kharif     ,Cotton(lint),45825,88415,28.1,72.69,4.12,1048.6,alluvial
Andhra Pradesh,KRISHNA,2006,Kharif     ,Cotton(lint),31586,85282,28.02,71.75,3.87,1048.6,alluvial
Andhra Pradesh,KRISHNA,2007,Kharif     ,Cotton(lint),35000,115000,27.67,73.5,4.01,1048.6,alluvial
Andhra Pradesh,KRISHNA,2008,Kharif     ,Cotton(lint),36669,131459,28.06,71.62,3.78,1048.6,alluvial
Andhra Pradesh,KRISHNA,2009,Kharif     ,Cotton(lint),46902,140706,28.55,69.69,3.93,1048.6,alluvial
Andhra Pradesh,KRISHNA,2010,Kharif     ,Cotton(lint),51963,117681,28.01,75.19,4.03,1048.6,alluvial
Andhra Pradesh,KRISHNA,2011,Kharif     ,Cotton(lint),59845,122506,28.28,69.25,3.98,1048.6,alluvial
Andhra Pradesh,KRISHNA,2012,Kharif     ,Cotton(lint),64514,208722,28.14,71,3.99,1048.6,alluvial
Andhra Pradesh,KRISHNA,2013,Kharif     ,Cotton(lint),59304,224658,27.81,72.5,4.11,1048.6,alluvial
Andhra Pradesh,KRISHNA,2014,Kharif     ,Cotton(lint),55571,261650,28.34,68.69,3.99,1048.6,alluvial
Andhra Pradesh,KURNOOL,1997,Kharif     ,Cotton(lint),90400,116900,27.3,60.81,3.92,672.2,mixed red and black
Andhra Pradesh,KURNOOL,1998,Kharif     ,Cotton(lint),153700,142000,27.38,63.56,3.66,672.2,mixed red and black
Andhra Pradesh,KURNOOL,1999,Kharif     ,Cotton(lint),106402,118294,27.23,57.38,4.07,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2000,Kharif     ,Cotton(lint),118754,159270,26.9,61.38,3.83,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2001,Kharif     ,Cotton(lint),82631,87006,27.37,58.69,4.05,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2002,Kharif     ,Cotton(lint),55276,49748,27.53,59.44,4.01,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2003,Kharif     ,Cotton(lint),39274,42739,27.88,58.31,4,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2004,Kharif     ,Cotton(lint),74578,64488,26.9,61.06,3.99,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2005,Kharif     ,Cotton(lint),24333,22615,26.48,66.06,3.64,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2006,Kharif     ,Cotton(lint),17223,22896,26.76,63.62,3.88,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2007,Kharif     ,Cotton(lint),29000,48000,26.68,63.5,3.84,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2008,Kharif     ,Cotton(lint),23397,42803,26.82,62.06,3.82,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2009,Kharif     ,Cotton(lint),36070,52620,27.55,59.94,3.9,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2010,Kharif     ,Cotton(lint),54003,111375,27.44,63.81,3.74,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2011,Kharif     ,Cotton(lint),97242,122387,27.65,57.06,4.16,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2012,Kharif     ,Cotton(lint),154899,175856,27.67,56.81,4,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2013,Kharif     ,Cotton(lint),203835,679850,26.95,62.44,4.18,672.2,mixed red and black
Andhra Pradesh,KURNOOL,2014,Kharif     ,Cotton(lint),306058,809620,27.13,60.5,3.89,672.2,mixed red and black
Andhra Pradesh,PRAKASAM,1997,Kharif     ,Cotton(lint),39900,47500,27.64,66.44,3.97,679.8,red
Andhra Pradesh,PRAKASAM,1998,Kharif     ,Cotton(lint),62800,82400,27.72,68.69,3.75,679.8,red
Andhra Pradesh,PRAKASAM,1999,Kharif     ,Cotton(lint),41514,45665,27.65,62.81,4,679.8,red
Andhra Pradesh,PRAKASAM,2000,Kharif     ,Cotton(lint),47128,61544,27.29,67.69,3.87,679.8,red
Andhra Pradesh,PRAKASAM,2001,Kharif     ,Cotton(lint),37624,62633,27.79,64.94,4.05,679.8,red
Andhra Pradesh,PRAKASAM,2002,Kharif     ,Cotton(lint),24364,28377,27.57,66.44,4,679.8,red
Andhra Pradesh,PRAKASAM,2003,Kharif     ,Cotton(lint),35815,60675,27.99,64.94,3.95,679.8,red
Andhra Pradesh,PRAKASAM,2004,Kharif     ,Cotton(lint),42618,57660,27.15,67.31,3.91,679.8,red
Andhra Pradesh,PRAKASAM,2005,Kharif     ,Cotton(lint),20988,32717,27.22,69.5,3.78,679.8,red
Andhra Pradesh,PRAKASAM,2006,Kharif     ,Cotton(lint),20156,40786,27.13,68.38,3.77,679.8,red
Andhra Pradesh,PRAKASAM,2007,Kharif     ,Cotton(lint),24000,71000,26.75,70.44,3.77,679.8,red
Andhra Pradesh,PRAKASAM,2008,Kharif     ,Cotton(lint),40781,131459,27.39,66.44,3.76,679.8,red
Andhra Pradesh,PRAKASAM,2009,Kharif     ,Cotton(lint),32960,93645,27.79,65.62,3.94,679.8,red
Andhra Pradesh,PRAKASAM,2010,Kharif     ,Cotton(lint),51421,115063,27.33,71.38,3.73,679.8,red
Andhra Pradesh,PRAKASAM,2011,Kharif     ,Cotton(lint),57941,140142,27.69,64.69,3.99,679.8,red
Andhra Pradesh,PRAKASAM,2012,Kharif     ,Cotton(lint),63206,195939,27.94,63.06,3.97,679.8,red
Andhra Pradesh,PRAKASAM,2013,Kharif     ,Cotton(lint),82988,276301,27.23,67.88,4.07,679.8,red
Andhra Pradesh,PRAKASAM,2014,Kharif     ,Cotton(lint),71520,252407,27.68,64.5,3.89,679.8,red
Andhra Pradesh,SPSR NELLORE,1997,Kharif     ,Cotton(lint),8700,20900,28.37,69.69,4.63,966.2,red
Andhra Pradesh,SPSR NELLORE,1998,Kharif     ,Cotton(lint),7100,5600,28.62,70.75,4.48,966.2,red
Andhra Pradesh,SPSR NELLORE,1999,Kharif     ,Cotton(lint),4636,7663,28.47,66.62,4.58,966.2,red
Andhra Pradesh,SPSR NELLORE,2000,Kharif     ,Cotton(lint),7628,14403,28.08,70.62,4.52,966.2,red
Andhra Pradesh,SPSR NELLORE,2001,Kharif     ,Cotton(lint),6553,17115,28.63,68.25,4.69,966.2,red
Andhra Pradesh,SPSR NELLORE,2002,Kharif     ,Cotton(lint),5798,10300,28.41,69.5,4.52,966.2,red
Andhra Pradesh,SPSR NELLORE,2003,Kharif     ,Cotton(lint),9993,29744,28.47,69.44,4.5,966.2,red
Andhra Pradesh,SPSR NELLORE,2004,Kharif     ,Cotton(lint),6399,18218,28.03,70.19,4.6,966.2,red
Andhra Pradesh,SPSR NELLORE,2005,Kharif     ,Cotton(lint),4428,10731,28.37,70.94,4.52,966.2,red
Andhra Pradesh,SPSR NELLORE,2006,Kharif     ,Cotton(lint),3760,11568,28.19,69.69,4.28,966.2,red
Andhra Pradesh,SPSR NELLORE,2007,Kharif     ,Cotton(lint),5000,20000,27.82,72.06,4.31,966.2,red
Andhra Pradesh,SPSR NELLORE,2008,Kharif     ,Cotton(lint),6879,24724,28.29,69.38,4.22,966.2,red
Andhra Pradesh,SPSR NELLORE,2009,Kharif     ,Cotton(lint),4567,14668,28.58,68.5,4.49,966.2,red
Andhra Pradesh,SPSR NELLORE,2010,Kharif     ,Cotton(lint),8255,14718,28.14,73.88,4.37,966.2,red
Andhra Pradesh,SPSR NELLORE,2011,Kharif     ,Cotton(lint),16925,34716,28.25,69.12,4.43,966.2,red
Andhra Pradesh,SPSR NELLORE,2012,Kharif     ,Cotton(lint),4753,12414,28.55,67.56,4.51,966.2,red
Andhra Pradesh,SPSR NELLORE,2013,Kharif     ,Cotton(lint),5220,13081,28.11,70.62,4.6,966.2,red
Andhra Pradesh,SPSR NELLORE,2014,Kharif     ,Cotton(lint),6615,20463,28.46,67.62,4.6,966.2,red
Andhra Pradesh,SRIKAKULAM,1997,Kharif     ,Cotton(lint),800,1900,27.19,71.12,3.16,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,1998,Kharif     ,Cotton(lint),2000,1600,27.12,75.19,3.31,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,1999,Kharif     ,Cotton(lint),1700,2810,26.69,71.44,3.26,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2000,Kharif     ,Cotton(lint),1836,3467,27.1,69.12,3.2,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2001,Kharif     ,Cotton(lint),1724,4503,27.18,70.38,3.26,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2002,Kharif     ,Cotton(lint),1522,2704,27.44,68.5,3.23,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2003,Kharif     ,Cotton(lint),1711,5093,27.13,72.12,3.42,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2004,Kharif     ,Cotton(lint),2525,7189,26.51,72.69,3,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2005,Kharif     ,Cotton(lint),2666,6461,27.14,71.88,3.34,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2006,Kharif     ,Cotton(lint),1761,5418,26.62,73.5,2.93,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2007,Kharif     ,Cotton(lint),2000,7000,26.62,74,3.15,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2008,Kharif     ,Cotton(lint),1802,6477,26.68,72.56,3.01,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2009,Kharif     ,Cotton(lint),1248,4008,27.65,68,3.09,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2010,Kharif     ,Cotton(lint),2968,6739,27.23,73.69,3.3,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2011,Kharif     ,Cotton(lint),5567,11953,26.76,70.75,3.03,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2012,Kharif     ,Cotton(lint),9952,33661,26.93,71.94,3.2,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2013,Kharif     ,Cotton(lint),9846,28843,26.94,72,3.3,815.9,alluvial
Andhra Pradesh,SRIKAKULAM,2014,Kharif     ,Cotton(lint),9563,42122,26.89,71,3.11,815.9,alluvial
Andhra Pradesh,VISAKHAPATANAM,1997,Kharif     ,Cotton(lint),1500,3500,27.56,75.81,4.59,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,1998,Kharif     ,Cotton(lint),1300,1100,27.62,78.19,4.54,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,1999,Kharif     ,Cotton(lint),1197,1979,27.18,75.62,4.56,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2000,Kharif     ,Cotton(lint),1119,2113,27.51,74.19,4.52,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2001,Kharif     ,Cotton(lint),1021,2667,27.63,74.44,4.47,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2002,Kharif     ,Cotton(lint),859,1526,27.85,72.94,4.42,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2003,Kharif     ,Cotton(lint),1359,4045,27.4,76.81,4.73,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2004,Kharif     ,Cotton(lint),3020,8598,27.12,76.56,4.32,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2005,Kharif     ,Cotton(lint),1834,4445,27.52,76.56,4.69,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2006,Kharif     ,Cotton(lint),847,2606,27.23,76.88,4.15,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2008,Kharif     ,Cotton(lint),204,733,27.18,77.31,4.35,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2009,Kharif     ,Cotton(lint),697,2239,27.34,76.12,4.34,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2010,Kharif     ,Cotton(lint),1105,2509,27.96,73.31,4.34,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2011,Kharif     ,Cotton(lint),1390,2984,27.58,78.06,4.57,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2012,Kharif     ,Cotton(lint),3013,10191,27.32,75.06,4.3,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2013,Kharif     ,Cotton(lint),2798,8196,27.43,75.75,4.62,1170.1,alluvial
Andhra Pradesh,VISAKHAPATANAM,2014,Kharif     ,Cotton(lint),2840,12510,27.4,75.5,4.73,1170.1,alluvial
Andhra Pradesh,VIZIANAGARAM,1997,Kharif     ,Cotton(lint),4200,10100,26.19,72.12,3.3,1094.2,red
Andhra Pradesh,VIZIANAGARAM,1998,Kharif     ,Cotton(lint),13200,10400,26.15,76.19,3.34,1094.2,red
Andhra Pradesh,VIZIANAGARAM,1999,Kharif     ,Cotton(lint),10494,17346,25.76,71.69,3.37,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2000,Kharif     ,Cotton(lint),9874,18644,26.16,69.75,3.34,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2001,Kharif     ,Cotton(lint),15639,40845,26.25,70.56,3.37,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2002,Kharif     ,Cotton(lint),12397,22023,26.62,68.38,3.32,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2003,Kharif     ,Cotton(lint),19471,26801,26.17,72.88,3.5,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2004,Kharif     ,Cotton(lint),22974,38650,25.57,73.69,3.09,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2005,Kharif     ,Cotton(lint),17734,13874,26.11,73.06,3.43,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2006,Kharif     ,Cotton(lint),11062,11452,25.69,74,3.03,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2007,Kharif     ,Cotton(lint),7000,7000,25.72,74.56,3.18,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2008,Kharif     ,Cotton(lint),6798,6358,25.8,73,3.13,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2009,Kharif     ,Cotton(lint),8808,15129,26.7,68.75,3.2,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2010,Kharif     ,Cotton(lint),11463,10721,26.21,74.94,3.37,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2011,Kharif     ,Cotton(lint),11728,15798,25.73,72.31,3.12,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2012,Kharif     ,Cotton(lint),14658,29316,26.09,71.88,3.37,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2013,Kharif     ,Cotton(lint),15303,26735,25.98,73.06,3.47,1094.2,red
Andhra Pradesh,VIZIANAGARAM,2014,Kharif     ,Cotton(lint),15698,37286,25.8,72.62,3.26,1094.2,alluvial
Andhra Pradesh,WEST GODAVARI,1997,Kharif     ,Cotton(lint),3400,8200,27.59,71.06,3.15,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,1998,Kharif     ,Cotton(lint),3100,2400,27.62,73.88,3.16,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,1999,Kharif     ,Cotton(lint),1546,2555,27.16,70.5,3.17,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2000,Kharif     ,Cotton(lint),2028,3829,27.31,70.88,3.2,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2001,Kharif     ,Cotton(lint),3269,8538,27.44,70.5,3.1,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2002,Kharif     ,Cotton(lint),940,1670,27.98,67.69,3.34,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2003,Kharif     ,Cotton(lint),3759,11189,27.6,71.12,3.31,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2004,Kharif     ,Cotton(lint),8729,24852,26.93,72.75,3.12,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2005,Kharif     ,Cotton(lint),11196,27134,27.4,72.38,3.2,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2006,Kharif     ,Cotton(lint),4370,13444,27.02,73.19,2.94,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2007,Kharif     ,Cotton(lint),5000,18000,26.98,73.56,3.14,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2008,Kharif     ,Cotton(lint),3512,12623,27.13,72.56,2.91,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2009,Kharif     ,Cotton(lint),2522,8100,27.93,69.06,2.97,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2010,Kharif     ,Cotton(lint),3956,8982,27.33,75.06,3.13,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2011,Kharif     ,Cotton(lint),5131,11017,27.05,71.69,3.05,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Cotton(lint),6425,21732,27.19,72.44,3.04,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Cotton(lint),5240,13038,26.9,74.06,3.24,1125.3,alluvial
Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Cotton(lint),9795,13807,27.51,68.81,3.08,1125.3,alluvial
Assam,BAKSA,2005,Kharif     ,Cotton(lint),8,4,23.78,79.06,2.39,1974.5,mountain
Assam,BAKSA,2006,Kharif     ,Cotton(lint),7,3,23.93,76.75,2.45,1974.5,mountain
Assam,BAKSA,2007,Kharif     ,Cotton(lint),6,3,23.81,76.44,2.48,1974.5,mountain
Assam,BAKSA,2008,Kharif     ,Cotton(lint),4,2,23.72,78.19,2.48,1974.5,mountain
Assam,BAKSA,2009,Kharif     ,Cotton(lint),4,2,24.24,75.81,2.54,1974.5,mountain
Assam,BAKSA,2010,Kharif     ,Cotton(lint),26,10,23.96,78.94,2.62,1974.5,mountain
Assam,BAKSA,2011,Kharif     ,Cotton(lint),9,4,23.56,78.44,2.59,1974.5,mountain
Assam,BAKSA,2012,Kharif     ,Cotton(lint),10,4,23.88,77.88,2.52,1974.5,mountain
Assam,BAKSA,2013,Kharif     ,Cotton(lint),10,4,24.25,78.25,2.43,1974.5,mountain
Assam,BAKSA,2014,Kharif     ,Cotton(lint),11,5,24.69,77.31,2.38,1974.5,mountain
Assam,BARPETA,1997,Kharif     ,Cotton(lint),8,4,23.84,69.5,2.56,1873.8,alluvial
Assam,BARPETA,1998,Kharif     ,Cotton(lint),8,4,24.42,70.94,2.51,1873.8,alluvial
Assam,BARPETA,1999,Kharif     ,Cotton(lint),8,4,24.68,70.31,2.52,1873.8,alluvial
Assam,BARPETA,2000,Kharif     ,Cotton(lint),8,4,23.51,75.75,2.48,1873.8,alluvial
